height,temperature,np,HI,HII,HMinus
10000000.0,5450.0,10703900000000.0,7.42867e+16,3313250000000.0,542172000.0
20000000.0,5050.0,3891330000000.0,3.62396e+16,430619000000.0,113642000.0
32500000.0,4890.0,1426190000000.0,1.31499e+16,141806000000.0,17157600.0
35000000.0,4820.0,1122950000000.0,1.06499e+16,88798800000.0,11518800.0
37500000.0,4840.0,936546000000.0,8525910000000000.0,95053100000.0,7771750.0
47500000.0,5010.0,497967000000.0,3495870000000000.0,134580000000.0,2535530.0
57500000.0,5280.0,368241000000.0,1458790000000000.0,206020000000.0,1263320.0
67500000.0,5620.0,650934000000.0,632638000000000.0,562366000000.0,519445.0
77500000.0,5940.0,1515170000000.0,287546000000000.0,1454250000000.0,219239.0
87500000.0,6220.0,2662380000000.0,136478000000000.0,2622490000000.0,114037.0
97500000.0,6580.0,4411180000000.0,63853000000000.0,4386970000000.0,66666.3
107500000.0,7020.0,6879390000000.0,27836000000000.0,6863970000000.0,38679.8
117500000.0,7470.0,7851690000000.0,10478800000000.0,7841200000000.0,18742.5
127500000.0,7890.0,6555990000000.0,3581030000000.0,6548970000000.0,8040.77
135000000.0,8160.0,5075770000000.0,1634290000000.0,5070710000000.0,4162.2
137500000.0,8240.0,4591270000000.0,1278240000000.0,4586760000000.0,3392.21
140000000.0,8320.0,4066030000000.0,974917000000.0,4062080000000.0,2675.52
141000000.0,8390.0,3880140000000.0,838588000000.0,3876410000000.0,2417.33
142000000.0,8450.0,3633770000000.0,713707000000.0,3630290000000.0,2129.61
142800000.0,8500.0,3265460000000.0,600644000000.0,3262360000000.0,1876.47
142830000.0,10000.0,2887130000000.0,238564000000.0,2884440000000.0,4715.92
142860000.0,13000.0,2066720000000.0,192725000000.0,2064270000000.0,136466.0
142900000.0,15000.0,1740350000000.0,167877000000.0,1737120000000.0,575811.0
142925000.0,16300.0,1595060000000.0,156253000000.0,1590750000000.0,1211120.0
142950000.0,18000.0,1439200000000.0,143286000000.0,1432710000000.0,2700820.0
142975000.0,20500.0,1263300000000.0,127889000000.0,1252100000000.0,6812860.0
143000000.0,22500.0,1153150000000.0,117753000000.0,1137230000000.0,12198900.0
143100000.0,26000.0,1006220000000.0,103548000000.0,981425000000.0,26856800.0
143125000.0,29000.0,911536000000.0,93357700000.0,879798000000.0,44449400.0
143150000.0,32000.0,835430000000.0,84860700000.0,798273000000.0,66106500.0
143175000.0,34500.0,781259000000.0,78859600000.0,740954000000.0,86739300.0
143200000.0,38000.0,716436000000.0,71768500000.0,673513000000.0,118572000.0
143300000.0,70000.0,410195000000.0,33982800000.0,373604000000.0,312849000.0
143400000.0,90000.0,323610000000.0,25066100000.0,292373000000.0,360539000.0
143600000.0,112000.0,264442000000.0,18857600000.0,236282000000.0,359870000.0
143900000.0,141000.0,218993000000.0,11075300000.0,191610000000.0,215061000.0
144200626.74094623,303636.96867735253,109552950077.15862,4741107052.5925665,90303964668.24318,188957317.0438319
144501881.53218722,653868.1471458992,54804714628.359985,2029569951.5266376,42559396872.83182,166022047.99755955
144803765.68580547,1408074.7667663721,27416484388.42171,868816954.0249794,20057837646.81361,145870616.98653448
145106280.51662484,3032223.7861844795,13715309372.883926,371922583.4189431,9453067492.193583,128165127.20253289
145409427.34221613,6529753.466584544,6861190097.493236,159212371.96879527,4455140508.436755,112608695.09010056
145713207.48290268,14061521.622724611,3432363665.599235,68155526.22513576,2099665210.9280982,98940472.23825915
146017622.2617661,14061521.622724611,1717066597.124317,29175972.30405931,989552179.0240079,86931271.5052529
146322673.00465226,14061521.622724611,858975908.7912279,12489630.805217076,466366499.72322416,76379724.03569907
146628361.04017675,14061521.622724611,429709373.60229415,5346552.842351182,219794081.27685526,67108902.73147598
146934687.69973087,14061521.622724611,214965453.47997126,2288748.782238858,103586853.24311928,58963355.55909795
147241654.31748742,14061521.622724611,107538138.63185132,979766.0553741454,48819495.5136014,51806498.94843158
147549262.2304064,14061521.622724611,53796789.545445636,419417.6008799002,23008162.40270191,45518327.57557035
147857512.77824098,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
148166407.30354315,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
148475947.15166977,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
148786133.6707883,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
149096968.21188268,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
149408452.12875932,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
149720586.7780528,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
150033373.51923203,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
150346813.7146059,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
150660908.72932944,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
150975659.93140966,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
151291068.69171146,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
151607136.38396376,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
151923864.38476536,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
152241254.07359087,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
152559306.832797,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
152878024.04762816,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
153197407.1062229,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
153517457.39961973,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
153838176.3217632,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
154159565.26951003,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
154481625.64263517,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
154804358.84383786,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
155127766.2787478,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
155451849.35593122,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
155776609.48689708,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
156102048.08610308,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
156428166.57096204,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
156754966.36184788,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
157082448.88210183,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
157410615.55803877,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
157739467.8189533,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
158069007.097126,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
158399234.82782972,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
158730152.44933572,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
159061761.4029201,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
159394063.1328699,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
159727059.0864895,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
160060750.7141069,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
160395139.46908006,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
160730226.80780315,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
161066014.189713,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
161402503.07729536,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
161739694.93609133,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
162077591.23470372,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
162416193.44480348,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
162755503.041136,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
163095521.50152773,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
163436250.30689242,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
163777690.9412377,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
164119844.89167142,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
164462713.64840826,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
164806298.7047762,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
165150601.55722287,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
165495623.7053223,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
165841366.65178126,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
166187831.9024459,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
166535020.96630833,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
166882935.3555131,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
167231576.5853638,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
167580946.17432982,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
167931045.6440527,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
168281876.51935303,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
168633440.32823682,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
168985738.60190243,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
169338772.87474698,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
169692544.68437326,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
170047055.57159624,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
170402307.0804499,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
170758300.75819394,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
171115038.15532044,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
171472520.82556072,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
171830750.325892,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
172189728.21654433,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
172549456.06100723,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
172909935.42603654,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
173271167.8816613,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
173633155.00119057,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
173995898.36122027,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
174359399.54163998,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
174723660.12563998,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
175088681.69971794,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
175454465.85368606,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
175821014.18067777,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
176188328.27715486,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
176556409.74291426,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
176925260.18109515,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
177294881.19818592,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
177665274.40403104,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
178036441.41183823,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
178408383.83818543,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
178781103.30302775,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
179154601.42970473,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
179528879.84494716,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
179903940.1788844,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
180279784.0650513,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
180656413.14039543,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
181033829.04528415,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
181412033.42351177,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
181791027.92230672,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
182170814.1923387,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
182551393.88772592,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
182932768.6660422,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
183314940.18832433,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
183697910.1190792,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
184081680.12629107,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
184466251.88142887,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
184851627.05945343,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
185237807.33882487,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
185624794.40150973,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
186012589.9329885,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
186401195.62226284,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
186790613.16186297,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
187180844.247855,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
187571890.57984844,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
187963753.8610034,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
188356435.7980382,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
188749938.10123673,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
189144262.48445588,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
189539410.665133,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
189935384.36429343,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
190332185.30655795,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
190729815.22015032,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
191128275.8369048,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
191527568.89227363,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
191927696.12533477,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
192328659.27879924,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
192730460.09901884,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
193133100.33599377,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
193536581.74338022,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
193940906.07849798,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
194346075.1023381,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
194752090.57957068,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
195158954.27855232,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
195566667.9713341,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
195975233.433669,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
196384652.44501993,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
196794926.7885673,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
197206058.25121677,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
197618048.62360713,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
198030899.7001181,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
198444613.27887806,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
198859191.1617719,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
199274635.15444893,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
199690947.06633073,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
200108128.71061897,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
200526181.90430337,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
200945108.46816954,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
201364910.226807,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
201785589.00861713,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
202207146.645821,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
202629584.9744675,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
203052905.83444124,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
203477111.06947064,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
203902202.5271359,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
204328182.05887705,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
204755051.52000207,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
205182812.7696949,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
205611467.67102358,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
206041018.09094834,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
206471465.90032977,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
206902812.97393692,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
207335061.1904555,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
207768212.43249607,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
208202268.58660215,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
208637231.5432586,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
209073103.19689974,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
209509885.44591755,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
209947580.19267005,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
210386189.34348962,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
